name,domain,year founded,industry,size range,city, state,country, linkedin url,current employee estimate,total employee estimate,Score,reviews,salaries,interviews,KMT,market_cap,enterprise_value,trailing_pe,forward_pe,peg_ratio_5,price_sales,price_book,enterprise_value_revenue,enterprise_value_ebitda,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,revenue_per_share,quarterly_revenue_share,gross_profit,ebitda,net_income_avi_to_common,diluted_eps,quarterly_earnings_growth,total_cash,total_cash_per_share,total_dept,total_dept_per_equity,operating_cash_flow,leveraged_free_cash_flow,stock_beta_3y,stock 52_week,stock_sp500_52_week,stock_52_week_high,stock_52_week_low,website_rank,organic_traffic,traffic_cost
target,target.com,1962.0,retail,10001+,minneapolis, minnesota, united states,linkedin.com/company/target,60602,204360,3.4,34000.0,44000.0,11000.0,TH,524420000.0,910600000.0,360.77,6.42,0.51,1.64,3.46,2.85,5.9,0.0041,0.3235,0.13,0.0166,319820000.0,3.19,0.789,137160000.0,154450000.0,1330000.0,0.013,1.391,10390000.0,0.1,391810000.0,288.46,37940000.0,13780000.0,,-0.5069,0.1325,12.11,4.62,114,109.23M,$3.80M
amazon,amazon.com,1994.0,internet,10001+,seattle, washington, united states,linkedin.com/company/amazon,93247,161866,3.8,37000.0,47000.0,21000.0,AMZN,869190000000.0,912720000000.0,77.68,64.31,1.71,3.27,15.36,3.44,26.69,0.0427,0.0539,0.0522,0.2373,265470000000.0001,539.3,0.237,93730000000.0,34190000000.0,11350000000.0,22.57,-0.26,43400000000.0,87.54,74590000000.0,132.0,35330000000.0,22580000000.0,1.57,0.0979,0.1325,2035.8,1307.0,7,1.85B,$31.87M
at&t,att.com,1876.0,telecommunications,10001+,dallas, texas, united states,linkedin.com/company/at&t,115188,269659,3.4,23000.0,29000.0,3900.0,T,286060000000.0,488220000000.0,17.55,10.82,2.9,1.57,1.56,2.68,9.04,0.0898,0.1534,0.0323,0.0918,182360000000.0,24.92,-0.025,91340000000.0,54030000000.0,16370000000.000004,2.23,-0.21600000000000005,6690000000.0,0.92,197490000000.0,101.63,48800000000.0,32620000000.0,0.61,0.3005,0.1325,39.58,26.8,206,59.92M,$1.24M
starbucks,starbucks.com,1971.0,retail,10001+,seattle, washington, united states,linkedin.com/company/starbucks,46523,147107,3.8,24000.0,29000.0,5300.0,SBUX,99440000000.0,105280000000.0,28.76,24.54,2.6,3.75,,3.97,19.58,0.1358,0.1482,0.1132,,26510000000.0,21.5,0.07,7490000000.0,5380000000.0,3600000000.0,2.92,0.063,2760000000.0,2.33,11170000000.0,,5050000000.0,3690000000.0,0.52,0.2322,0.1325,99.72,60.42,942,14.02M,$207.03K
bank of america,bankofamerica.com,1968.0,banking,10001+,charlotte, north carolina, united states,linkedin.com/company/bank-of-america,97357,279769,3.7,22000.0,35000.0,5700.0,BAC,294950000000.0,281130000000.0,12.09,11.0,1.45,3.42,1.22,3.26,,0.32159999999999994,0.3917,0.0116,0.1045,86170000000.0,8.98,-0.09300000000000001,88690000000.0,,26290000000.0,2.71,-0.19399999999999998,592250000000.0,65.84,547710000000.0001,,-11250000000.0,,1.62,0.18600000000000005,0.1325,33.6,22.66,240,52.76M,$885.76K
ibm,ibm.com,1911.0,information technology and services,10001+,new york, new york, united states,linkedin.com/company/ibm,274047,716906,3.7,51000.0,76000.0,9000.0,IBM,119100000000.0,179910000000.0,15.63,10.1,7.62,1.54,6.63,2.33,10.8,0.1,0.1445,0.0513,0.4061,77130000000.0,86.59,-0.039,36940000000.0,16660000000.0,7720000000.0,8.6,-0.379,10830000000.0,12.23,71500000000.0,395.11,15440000000.0,14990000000.0,1.34,0.1165,0.1325,152.95,105.94,809,16.26M,$756.53K
verizon,verizon.com,1983.0,information technology and services,10001+,basking ridge, new jersey, united states,linkedin.com/company/verizon,37368,85643,3.6,21000.0,26000.0,4100.0,VZ,245710000000.0,375580000000.0,15.27,12.03,5.25,1.87,4.17,2.86,7.72,0.1226,0.24170000000000005,0.0721,0.2858,131370000000.0,31.75,0.009000000000000001,75660000000.0,48680000000.0,16110000000.0,3.89,0.055,3020000000.0,0.73,131870000000.0,218.65,34840000000.0,16600000000.000004,0.5,0.0041,0.1325,61.58,52.28,773,17.11M,$369.94K
macy's,macysjobs.com,1858.0,retail,10001+,cincinnati, ohio, united states,linkedin.com/company/macy,33795,110896,3.2,19000.0,20000.0,7100.0,M,4960000000.0,12160000000.0,4.89,6.23,-0.35,0.19,0.79,0.47,6.08,0.039900000000000005,0.0518,0.0422,0.1679,25680000000.0,83.14,-0.006,10520000000.0,2000000000.0,1020000000.0,3.29,-0.48200000000000004,674000000.0,2.18,7870000000.0,124.67,1540000000.0,284000000.0,0.64,-0.5017,0.1325,37.32,14.11,77802,58.92K,$1.78K
best buy,bestbuy.com,1966.0,retail,10001+,richfield, minnesota, united states,linkedin.com/company/best-buy,29568,120812,3.8,20000.0,27000.0,4800.0,BBY,19770000000.0,22230000000.0,13.56,12.44,1.83,0.46,6.05,0.52,7.83,0.0352,0.0471,0.0941,0.4682,43070000000.0,159.69,0.017,9960000000.0,2840000000.0,1520000000.0,5.53,-0.025,1720000000.0,6.53,4130000000.0,125.85,1920000000.0,875630000.0,1.14,0.1093,0.1325,78.53,47.72,46,234.16M,$2.89M
walgreens,walgreens.com,1901.0,retail,10001+,deerfield, illinois, united states,linkedin.com/company/walgreens,40455,98131,3.0,15000.0,21000.0,3000.0,WBA,55560000000.0,73530000000.0,14.44,10.11,4.6,0.41,2.37,0.54,11.17,0.0291,0.0352,0.0444,0.1558,136870000000.0,148.52,0.015,30080000000.0,6580000000.0,3980000000.0,4.31,-0.552,1020000000.0,1.15,17930000000.0,74.23,5590000000.0,2700000000.0,0.87,-0.2378,0.1325,86.31,49.03,330,38.58M,$712.91K
microsoft,microsoft.com,1975.0,computer software,10001+,redmond, washington, united states,linkedin.com/company/microsoft,116196,276983,4.2,24000.0,51000.0,8800.0,MSFT,1120000000000.0,1070000000000.0,27.79,24.31,1.87,8.66,10.6,8.25,18.65,0.3166,0.35200000000000004,0.1064,0.428,129810000000.0,16.94,0.13699999999999998,82930000000.0,57420000000.0,41090000000.0,5.3,0.21,136610000000.00005,17.91,85570000000.0,80.68,52350000000.0,33810000000.000008,1.23,0.3709,0.1325,147.57,93.96,24,383.69M,$4.91M
apple,apple.com,1976.0,consumer electronics,10001+,cupertino, california, united states,linkedin.com/company/apple,90095,179531,4.0,16000.0,27000.0,7500.0,AAPL,1200000000000.0,1170000000000.0,22.24,17.82,2.04,4.59,12.99,4.5,15.32,0.2124,0.2457,0.1135,0.5592,260170000000.0001,56.34,0.018000000000000002,98390000000.0,76480000000.0,55260000000.0,11.89,-0.031,100560000000.0,22.63,108050000000.0,119.4,69390000000.0,42910000000.0,1.25,0.3686,0.1325,264.78,142.0,8,1.73B,$6.83M
ups,ups.com,1907.0,transportation/trucking/railroad,10001+,atlanta, georgia, united states,linkedin.com/company/ups,59712,132381,3.4,13000.0,14000.0,2700.0,UPS,105530000000.0,127480000000.0,21.4,15.21,2.06,1.44,18.99,1.74,16.12,0.0681,0.0767,0.0704,1.1492,73370000000.0,84.8,0.05,13130000000.0,7910000000.0,5000000000.0,5.75,0.16,4540000000.0,5.29,26480000000.0,475.06,8980000000.0,766500000.0,1.22,0.1137,0.1325,125.31,89.89,363,35.92M,$281.48K
nordstrom,nordstrom.com,1901.0,retail,10001+,seattle, washington, united states,linkedin.com/company/nordstrom,20376,81777,3.6,12000.0,11000.0,3600.0,JWN,5770000000.0,9590000000.0,12.27,11.0,4.49,0.37,7.59,0.62,6.58,0.0316,0.0516,0.0544,0.5182,15550000000.0,96.62,-0.048,5710000000.0,1460000000.0,492000000.0,3.03,-0.13,956000000.0,6.17,4830000000.0,635.97,1390000000.0,643120000.0,0.65,-0.3745000000000001,0.1325,65.24,25.01,176,68.83M,$1.83M
